signal,horizon_hours,forecast_time,forecast_value,recent_mean,recent_std,z_score,rel_jump,flag_upcoming_anomaly
PM10_MAX,5,2025-02-20 20:00:00,16.26679919017066,13.559194914911336,1.1472155236645813,2.3601531006225835,0.05173270626103395,False
PM10_MAX,6,2025-02-20 21:00:00,16.426825694871457,13.559194914911336,1.1472155236645813,2.4996443308228358,0.062079247513240766,False
PM10_MAX,7,2025-02-20 22:00:00,16.586852199572252,13.559194914911336,1.1472155236645813,2.6391355610230844,0.07242578876544735,False
PM10_MAX,8,2025-02-20 23:00:00,16.74687870427305,13.559194914911336,1.1472155236645813,2.7786267912233367,0.08277233001765416,False
PM10_MAX,9,2025-02-21 00:00:00,16.90690520897385,13.559194914911336,1.1472155236645813,2.9181180214235884,0.09311887126986097,False
PM10_MAX,10,2025-02-21 01:00:00,17.06693171367465,13.559194914911336,1.1472155236645813,3.0576092516238402,0.10346541252206778,True
PM10_MAX,11,2025-02-21 02:00:00,17.226958218375447,13.559194914911336,1.1472155236645813,3.1971004818240925,0.1138119537742746,True
PM10_MAX,12,2025-02-21 03:00:00,17.386984723076246,13.559194914911336,1.1472155236645813,3.3365917120243442,0.12415849502648141,True
Vehicle Count,1,2025-02-20 16:00:00,391377.05043478264,277797.5,161770.44154629527,0.7021032356042533,0.028826848947014243,False
Vehicle Count,2,2025-02-20 17:00:00,402343.1008695652,277797.5,161770.44154629527,0.7698909620267241,0.057653697894028334,False
Vehicle Count,3,2025-02-20 18:00:00,413309.15130434785,277797.5,161770.44154629527,0.8376786884491954,0.08648054684104257,False
Vehicle Count,4,2025-02-20 19:00:00,424275.2017391304,277797.5,161770.44154629527,0.9054664148716662,0.11530739578805667,False
Vehicle Count,5,2025-02-20 20:00:00,435241.25217391306,277797.5,161770.44154629527,0.9732541412941375,0.14413424473507092,False
Vehicle Count,6,2025-02-20 21:00:00,446207.3026086957,277797.5,161770.44154629527,1.0410418677166087,0.17296109368208515,False
Vehicle Count,7,2025-02-20 22:00:00,457173.3530434783,277797.5,161770.44154629527,1.1088295941390796,0.20178794262909924,False
Vehicle Count,8,2025-02-20 23:00:00,468139.40347826085,277797.5,161770.44154629527,1.1766173205615504,0.23061479157611334,False
Vehicle Count,9,2025-02-21 00:00:00,479105.4539130435,277797.5,161770.44154629527,1.2444050469840215,0.25944164052312757,False
Vehicle Count,10,2025-02-21 01:00:00,490071.5043478261,277797.5,161770.44154629527,1.3121927734064929,0.28826848947014183,False
Vehicle Count,11,2025-02-21 02:00:00,501037.5547826087,277797.5,161770.44154629527,1.3799804998289635,0.3170953384171559,False
Vehicle Count,12,2025-02-21 03:00:00,512003.60521739133,277797.5,161770.44154629527,1.4477682262514349,0.34592218736417013,False
SOUND,1,2025-02-20 16:00:00,66.58431336245245,71.445024286339,2.0127742151138324,-2.4149310376631887,0.0019115045189016851,False
SOUND,2,2025-02-20 17:00:00,66.45679339157155,71.445024286339,2.0127742151138324,-2.4782863658084695,0.0038230090378035837,False
SOUND,3,2025-02-20 18:00:00,66.32927342069067,71.445024286339,2.0127742151138324,-2.5416416939537436,0.005734513556705269,False
SOUND,4,2025-02-20 19:00:00,66.20175344980977,71.445024286339,2.0127742151138324,-2.6049970220990244,0.007646018075607167,False
SOUND,5,2025-02-20 20:00:00,66.07423347892889,71.445024286339,2.0127742151138324,-2.668352350244298,0.009557522594508852,False
SOUND,6,2025-02-20 21:00:00,65.946713508048,71.445024286339,2.0127742151138324,-2.7317076783895717,0.011469027113410538,False
SOUND,7,2025-02-20 22:00:00,65.81919353716711,71.445024286339,2.0127742151138324,-2.7950630065348525,0.013380531632312436,False
SOUND,8,2025-02-20 23:00:00,65.69167356628623,71.445024286339,2.0127742151138324,-2.8584183346801266,0.015292036151214121,False
SOUND,9,2025-02-21 00:00:00,65.56415359540533,71.445024286339,2.0127742151138324,-2.9217736628254074,0.017203540670116018,False
SOUND,10,2025-02-21 01:00:00,65.43663362452445,71.445024286339,2.0127742151138324,-2.985128990970681,0.019115045189017705,False
SOUND,11,2025-02-21 02:00:00,65.30911365364356,71.445024286339,2.0127742151138324,-3.0484843191159547,0.02102654970791939,True
SOUND,12,2025-02-21 03:00:00,65.18159368276267,71.445024286339,2.0127742151138324,-3.111839647261236,0.022938054226821287,True
